#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,MVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,37520.82,62968.65,-5519.64,29055.93,0.00,0.00,0.00,37520.82,62968.65,None,162599.97,162599.97
Swap_20y,CPTY_A,37520.82,62968.65,29055.93,-5519.64,#N/A,#N/A,#N/A,0.00,0.00,None,162599.97,162599.97
