#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,MVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,50714.64,155812.02,-7381.14,71322.37,0.00,0.00,0.00,50714.64,155812.02,None,239071.23,239071.23
Swap_20,CPTY_A,50714.64,155812.02,71322.37,-7381.14,#N/A,#N/A,#N/A,0.00,0.00,None,239071.23,239071.23
