#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,0.00,283741.12,0.00,283741.12,0.00,0.00
CPTY_A,2016-03-07,0.084699,64993.86,346070.93,428891.19,0.00,64984.41,64984.41
CPTY_A,2016-04-05,0.163934,121222.86,401421.50,682820.75,0.00,121182.49,121182.49
CPTY_A,2016-05-06,0.248634,167059.92,448896.92,917592.81,0.00,166964.02,166964.02
CPTY_A,2016-06-06,0.333333,205413.95,485438.96,1132782.25,0.00,205246.56,205246.56
CPTY_A,2016-07-05,0.412568,238884.28,517522.18,1227894.50,0.00,238622.15,238622.15
CPTY_A,2016-08-05,0.497268,274940.85,551394.94,1456619.00,0.00,274584.95,274584.95
CPTY_A,2016-09-06,0.584699,303141.42,578071.68,1533501.38,0.00,302645.91,302645.91
CPTY_A,2016-10-05,0.663934,328059.79,603299.09,1690951.38,0.00,327439.34,327439.34
CPTY_A,2016-11-07,0.754098,357171.02,633087.87,1854768.50,0.00,356344.38,356344.38
CPTY_A,2016-12-05,0.830601,388091.14,663027.52,2070625.62,0.00,387081.57,387081.57
CPTY_A,2017-01-05,0.915330,414001.17,687599.55,2176269.50,0.00,412801.27,412801.27
CPTY_A,2017-02-06,1.003002,432340.78,704709.83,2378604.50,0.00,430968.79,430968.79
CPTY_A,2017-03-06,1.079714,404532.55,776635.19,2245657.50,0.00,403124.79,430968.79
CPTY_A,2017-04-05,1.161906,425766.18,797330.39,2230176.25,0.00,424140.93,430968.79
CPTY_A,2017-05-05,1.244098,440881.58,812512.76,2334136.75,0.00,439049.98,439049.98
CPTY_A,2017-06-06,1.331769,454835.02,825978.42,2260608.00,0.00,452805.64,452805.64
CPTY_A,2017-07-05,1.411221,469374.93,839865.16,2437338.50,0.00,467153.12,467153.12
CPTY_A,2017-08-07,1.501632,493943.07,863226.40,2531975.50,0.00,491452.27,491452.27
CPTY_A,2017-09-05,1.581084,485734.26,859225.20,2510330.25,0.00,483147.60,491452.27
CPTY_A,2017-10-05,1.663276,494856.79,868101.84,2504433.25,0.00,492076.51,492076.51
CPTY_A,2017-11-06,1.750947,511163.08,886042.76,2667360.50,0.00,508131.44,508131.44
CPTY_A,2017-12-05,1.830399,530674.05,904198.61,2680972.25,0.00,527349.91,527349.91
CPTY_A,2018-01-05,1.915330,540984.84,915741.00,2776520.25,0.00,537400.20,537400.20
CPTY_A,2018-02-05,2.000262,553059.89,927637.65,2919366.75,0.00,549195.03,549195.03
CPTY_A,2018-03-05,2.076974,507647.70,986640.73,2704095.75,0.00,503997.05,549195.03
CPTY_A,2018-04-05,2.161906,526684.92,1003187.49,2833629.25,0.00,522790.93,549195.03
CPTY_A,2018-05-08,2.252317,543310.44,1020626.40,2970164.75,0.00,539176.67,549195.03
CPTY_A,2018-06-05,2.329029,553839.01,1031373.69,3064490.50,0.00,549524.09,549524.09
CPTY_A,2018-07-05,2.411221,568258.86,1044685.51,3153941.25,0.00,563720.53,563720.53
CPTY_A,2018-08-06,2.498892,588942.38,1063214.55,3171520.75,0.00,584116.10,584116.10
CPTY_A,2018-09-05,2.581084,577646.02,1049685.42,3168345.75,0.00,572799.45,584116.10
CPTY_A,2018-10-05,2.663276,588056.54,1058873.97,3168715.25,0.00,583007.76,584116.10
CPTY_A,2018-11-05,2.748207,602756.50,1073495.77,3201075.25,0.00,597459.87,597459.87
CPTY_A,2018-12-05,2.830399,609894.47,1081976.07,3312026.25,0.00,604416.04,604416.04
CPTY_A,2019-01-07,2.920810,627663.42,1098082.66,3321427.00,0.00,621890.60,621890.60
CPTY_A,2019-02-05,3.000262,642725.45,1111762.47,3329575.00,0.00,636692.84,636692.84
CPTY_A,2019-03-05,3.076974,597865.89,1159939.78,3349421.00,0.00,592207.84,636692.84
CPTY_A,2019-04-05,3.161906,603220.91,1169286.56,3138381.50,0.00,597479.27,636692.84
CPTY_A,2019-05-07,3.249577,614210.98,1180434.62,3455269.75,0.00,608330.15,636692.84
CPTY_A,2019-06-05,3.329029,635542.02,1195373.01,3392625.75,0.00,629424.52,636692.84
CPTY_A,2019-07-05,3.411221,624497.82,1196167.28,3360449.50,0.00,618453.66,636692.84
CPTY_A,2019-08-05,3.496152,625627.58,1204156.60,3407105.75,0.00,619538.37,636692.84
