#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2019-09-05,3.581084,610708.89,1174796.04,3383797.00,0.00,604731.57,636692.84
CPTY_A,2019-10-07,3.668755,623849.97,1189164.58,3314245.00,0.00,617708.90,636692.84
CPTY_A,2019-11-05,3.748207,624518.76,1193494.42,3337659.00,0.00,618339.25,636692.84
CPTY_A,2019-12-05,3.830399,632681.26,1201839.65,3503198.25,0.00,626387.60,636692.84
CPTY_A,2020-01-06,3.918033,641990.67,1209951.73,3670194.50,0.00,635568.26,636692.84
CPTY_A,2020-02-05,4.000000,658390.00,1223697.41,3716068.00,0.00,651768.80,651768.80
CPTY_A,2020-03-05,4.079235,605198.91,1252698.25,3396114.50,0.00,599155.32,651768.80
CPTY_A,2020-04-06,4.166667,616593.07,1263082.24,3812135.00,0.00,610500.93,651768.80
CPTY_A,2020-05-05,4.245902,626396.41,1275553.12,3982441.50,0.00,620267.47,651768.80
CPTY_A,2020-06-05,4.330601,637357.09,1286167.48,3864744.00,0.00,631186.24,651768.80
CPTY_A,2020-07-06,4.415301,639079.92,1294318.18,3665392.75,0.00,632957.90,651768.80
CPTY_A,2020-08-05,4.497268,642490.61,1299636.07,3886262.25,0.00,636399.67,651768.80
CPTY_A,2020-09-08,4.590164,627404.40,1260757.95,3948764.75,0.00,621527.03,651768.80
CPTY_A,2020-10-05,4.663934,634030.03,1266872.02,3896572.25,0.00,628147.22,651768.80
CPTY_A,2020-11-05,4.748634,634508.41,1273392.64,3944124.50,0.00,628686.24,651768.80
CPTY_A,2020-12-07,4.836066,642052.75,1282313.14,3893547.25,0.00,636229.33,651768.80
CPTY_A,2021-01-05,4.915330,651350.20,1289395.48,3986860.00,0.00,645504.96,651768.80
CPTY_A,2021-02-05,5.000262,658619.77,1300727.68,4178423.75,0.00,652776.86,652776.86
CPTY_A,2021-03-05,5.076974,607616.13,1319732.90,3861700.50,0.00,602424.94,652776.86
CPTY_A,2021-04-06,5.164646,608921.13,1322381.42,3925814.25,0.00,603974.35,652776.86
CPTY_A,2021-05-05,5.244098,613368.29,1326216.22,3793722.75,0.00,608618.78,652776.86
CPTY_A,2021-06-07,5.334509,628096.82,1330299.68,3775710.25,0.00,623505.34,652776.86
CPTY_A,2021-07-06,5.413961,618990.52,1331732.67,3746739.75,0.00,614701.33,652776.86
CPTY_A,2021-08-05,5.496152,644058.06,1343931.84,4029822.25,0.00,639849.00,652776.86
CPTY_A,2021-09-07,5.586563,618079.29,1281894.91,3906739.50,0.00,614308.07,652776.86
CPTY_A,2021-10-05,5.663276,619421.77,1285036.93,3938067.00,0.00,615870.40,652776.86
CPTY_A,2021-11-05,5.748207,621140.56,1288340.27,3795257.75,0.00,617832.60,652776.86
CPTY_A,2021-12-06,5.833139,624672.44,1292905.23,3787422.25,0.00,621600.47,652776.86
CPTY_A,2022-01-05,5.915330,631637.46,1298770.66,3606783.00,0.00,628780.68,652776.86
CPTY_A,2022-02-07,6.005741,638436.74,1304958.29,3833008.00,0.00,635826.66,652776.86
CPTY_A,2022-03-07,6.082454,587876.66,1307285.05,3431359.50,0.00,585809.09,652776.86
CPTY_A,2022-04-05,6.161906,594385.35,1312507.52,3445891.25,0.00,592656.33,652776.86
CPTY_A,2022-05-05,6.244098,600476.72,1318769.55,3675810.00,0.00,599107.96,652776.86
CPTY_A,2022-06-07,6.334509,607681.94,1324811.87,3406009.50,0.00,606717.79,652776.86
CPTY_A,2022-07-05,6.411221,608211.05,1328046.52,3582925.00,0.00,607603.85,652776.86
CPTY_A,2022-08-05,6.496152,608724.30,1330581.50,3778671.50,0.00,608513.28,652776.86
CPTY_A,2022-09-06,6.583824,592138.45,1269948.61,3384898.50,0.00,592331.78,652776.86
CPTY_A,2022-10-05,6.663276,593148.13,1271182.33,3414178.25,0.00,593703.87,652776.86
CPTY_A,2022-11-07,6.753687,599780.80,1278059.82,3586319.50,0.00,600759.67,652776.86
CPTY_A,2022-12-05,6.830399,607131.94,1285407.11,3389614.75,0.00,608481.10,652776.86
CPTY_A,2023-01-05,6.915330,612966.32,1292426.37,3432425.25,0.00,614729.20,652776.86
CPTY_A,2023-02-06,7.003002,620767.42,1303574.70,3649644.75,0.00,622971.96,652776.86
CPTY_A,2023-03-06,7.079714,565537.60,1299036.91,3432582.50,0.00,567972.83,652776.86
CPTY_A,2023-04-05,7.161906,574770.16,1308814.34,3795179.50,0.00,577722.38,652776.86
CPTY_A,2023-05-05,7.244098,583108.60,1316043.62,3902509.25,0.00,586588.20,652776.86
CPTY_A,2023-06-05,7.329029,591592.82,1323959.37,3906813.00,0.00,595631.47,652776.86
CPTY_A,2023-07-05,7.411221,595632.80,1327852.03,4054090.00,0.00,600194.82,652776.86
CPTY_A,2023-08-07,7.501632,600649.38,1332364.20,3645558.00,0.00,605800.26,652776.86
CPTY_A,2023-09-05,7.581084,627995.79,1250662.67,4135968.75,0.00,633887.37,652776.86
CPTY_A,2023-10-05,7.663276,622377.54,1262533.93,3949835.50,0.00,628735.78,652776.86
CPTY_A,2023-11-06,7.750947,619819.01,1275437.67,4006886.25,0.00,626703.30,652776.86
CPTY_A,2023-12-05,7.830399,616898.99,1280362.09,3950024.75,0.00,624249.33,652776.86
CPTY_A,2024-01-05,7.915301,623039.60,1288357.14,4109104.00,0.00,631001.72,652776.86
CPTY_A,2024-02-05,8.000000,628567.38,1294189.77,4187856.00,0.00,637143.99,652776.86
CPTY_A,2024-03-05,8.079235,578952.66,1272989.98,3663866.50,0.00,587403.49,652776.86
CPTY_A,2024-04-05,8.163934,581407.97,1276565.76,3833976.50,0.00,590501.06,652776.86
CPTY_A,2024-05-07,8.251366,596375.54,1286767.70,3667053.00,0.00,606345.48,652776.86
CPTY_A,2024-06-05,8.330601,607890.19,1291806.69,3592102.25,0.00,618646.98,652776.86
CPTY_A,2024-07-05,8.412568,609369.95,1296028.75,3600618.00,0.00,620769.87,652776.86
CPTY_A,2024-08-05,8.497268,609870.46,1300942.18,3593130.75,0.00,621918.43,652776.86
CPTY_A,2024-09-05,8.581967,600897.60,1212980.94,3505474.00,0.00,613398.25,652776.86
CPTY_A,2024-10-07,8.669399,605374.71,1216336.92,3590183.50,0.00,618624.28,652776.86
CPTY_A,2024-11-05,8.748634,619537.85,1225557.50,3930447.00,0.00,633706.22,652776.86
CPTY_A,2024-12-05,8.830601,618871.90,1227600.40,3931184.00,0.00,633654.80,652776.86
CPTY_A,2025-01-06,8.918070,623995.67,1234788.50,3828525.00,0.00,639578.95,652776.86
CPTY_A,2025-02-05,9.000262,632620.22,1240726.98,3793791.50,0.00,649063.95,652776.86
CPTY_A,2025-03-05,9.076974,580937.84,1213897.83,3548367.25,0.00,596672.87,652776.86
CPTY_A,2025-04-07,9.167385,585926.01,1220163.91,3571819.75,0.00,602572.50,652776.86
CPTY_A,2025-05-06,9.246837,590578.73,1224328.64,3535796.25,0.00,608045.91,652776.86
CPTY_A,2025-06-05,9.329029,601145.47,1229462.41,3714190.25,0.00,619651.01,652776.86
CPTY_A,2025-07-07,9.416700,600006.19,1233893.91,3739153.00,0.00,619250.33,652776.86
CPTY_A,2025-08-05,9.496152,606895.24,1239298.05,3763034.75,0.00,627070.38,652776.86
CPTY_A,2025-09-05,9.581084,613240.30,1152884.43,3568046.00,0.00,634394.22,652776.86
CPTY_A,2025-10-06,9.666015,602254.67,1159269.59,3652393.75,0.00,623784.64,652776.86
CPTY_A,2025-11-05,9.748207,610571.74,1163767.22,3757329.50,0.00,633140.66,652776.86
CPTY_A,2025-12-05,9.830399,618058.84,1170045.93,3815165.50,0.00,641656.11,652776.86
CPTY_A,2026-01-05,9.915330,624000.16,1175038.66,3788162.75,0.00,648609.32,652776.86
CPTY_A,2026-02-05,10.000262,631526.02,1182470.89,4013799.50,0.00,657227.47,657227.47
CPTY_A,2026-03-05,10.076974,578643.45,1155364.20,3695021.00,0.00,602856.20,657227.47
CPTY_A,2026-04-07,10.167385,579395.16,1158246.87,3579134.75,0.00,604424.14,657227.47
CPTY_A,2026-05-05,10.244098,582494.39,1159923.91,3690111.50,0.00,608327.48,657227.47
CPTY_A,2026-06-05,10.329029,624732.65,1160938.64,3860988.50,0.00,653235.75,657227.47
CPTY_A,2026-07-06,10.413961,663933.04,1160801.77,4438205.00,0.00,695072.45,695072.45
CPTY_A,2026-08-05,10.496152,631111.63,1167091.26,4135042.50,0.00,661492.51,695072.45
CPTY_A,2026-09-08,10.589303,575357.64,1078868.15,3796881.50,0.00,603862.38,695072.45
CPTY_A,2026-10-05,10.663276,574647.48,1082025.72,3755066.00,0.00,603758.49,695072.45
CPTY_A,2026-11-05,10.748207,575527.77,1085527.69,3833800.50,0.00,605421.84,695072.45
CPTY_A,2026-12-07,10.835878,578049.04,1091205.35,3735392.75,0.00,608840.64,695072.45
CPTY_A,2027-01-05,10.915330,586069.01,1096136.19,3634337.00,0.00,617993.01,695072.45
CPTY_A,2027-02-05,11.000262,589444.46,1100515.62,3779186.00,0.00,622311.39,695072.45
CPTY_A,2027-03-05,11.076974,540925.16,1068294.03,3472874.50,0.00,571716.58,695072.45
CPTY_A,2027-04-05,11.161906,545649.78,1072118.53,3319809.50,0.00,577414.44,695072.45
CPTY_A,2027-05-05,11.244098,550766.17,1073256.63,3399787.00,0.00,583517.48,695072.45
CPTY_A,2027-06-07,11.334509,552976.63,1076153.15,3449731.75,0.00,586621.04,695072.45
CPTY_A,2027-07-06,11.413961,557688.58,1082960.05,3532784.25,0.00,592295.54,695072.45
CPTY_A,2027-08-05,11.496152,564914.68,1088694.75,3467155.00,0.00,600679.11,695072.45
CPTY_A,2027-09-07,11.586563,540714.21,993766.74,3487845.75,0.00,575693.99,695072.45
CPTY_A,2027-10-05,11.663276,545288.06,995905.14,3398081.00,0.00,581204.08,695072.45
CPTY_A,2027-11-05,11.748207,545036.60,997291.93,3279164.50,0.00,581645.52,695072.45
CPTY_A,2027-12-06,11.833139,549717.92,1001218.62,3285762.75,0.00,587357.70,695072.45
CPTY_A,2028-01-05,11.915301,553227.16,1007404.39,3287011.75,0.00,591805.80,695072.45
CPTY_A,2028-02-07,12.005464,545698.87,1007267.68,3293181.75,0.00,584511.45,695072.45
CPTY_A,2028-03-06,12.081967,493027.23,970340.84,3026008.50,0.00,528715.89,695072.45
CPTY_A,2028-04-05,12.163934,499445.06,975984.95,3044253.00,0.00,536277.89,695072.45
CPTY_A,2028-05-05,12.245902,500678.70,979505.24,3032266.75,0.00,538284.66,695072.45
CPTY_A,2028-06-06,12.333333,506671.51,983658.40,3299759.50,0.00,545464.89,695072.45
CPTY_A,2028-07-05,12.412568,509166.01,986559.43,3360146.00,0.00,548822.72,695072.45
CPTY_A,2028-08-07,12.502732,521002.08,992347.05,3339370.25,0.00,562364.53,695072.45
CPTY_A,2028-09-05,12.581967,501145.04,893976.39,3183850.25,0.00,541594.51,695072.45
CPTY_A,2028-10-05,12.663934,500155.39,896472.18,3318554.75,0.00,541210.85,695072.45
CPTY_A,2028-11-06,12.751366,499053.16,899509.41,3320992.00,0.00,540749.06,695072.45
CPTY_A,2028-12-05,12.830601,495264.81,901411.94,3277755.00,0.00,537302.42,695072.45
CPTY_A,2029-01-05,12.915330,496428.51,903764.10,3333581.00,0.00,539271.06,695072.45
CPTY_A,2029-02-05,13.000262,494980.20,908069.80,3165464.25,0.00,538402.78,695072.45
CPTY_A,2029-03-05,13.076974,451542.00,870895.96,2958624.25,0.00,491735.56,695072.45
CPTY_A,2029-04-05,13.161906,459611.41,874549.93,3049821.50,0.00,501179.55,695072.45
CPTY_A,2029-05-08,13.252317,465114.26,878403.98,2946975.00,0.00,507888.04,695072.45
CPTY_A,2029-06-05,13.329029,469887.88,880935.81,2877962.25,0.00,513708.29,695072.45
CPTY_A,2029-07-05,13.411221,474030.58,882087.21,3092600.00,0.00,518894.91,695072.45
CPTY_A,2029-08-06,13.498892,470648.12,884714.84,3103285.25,0.00,515889.64,695072.45
CPTY_A,2029-09-05,13.581084,450700.83,781895.92,2758937.75,0.00,494651.75,695072.45
CPTY_A,2029-10-05,13.663276,452218.30,783010.39,2737891.25,0.00,496946.96,695072.45
CPTY_A,2029-11-05,13.748207,454632.39,782228.14,2919497.75,0.00,500254.91,695072.45
CPTY_A,2029-12-05,13.830399,456226.90,785482.20,2893973.50,0.00,502646.41,695072.45
CPTY_A,2030-01-07,13.920810,461584.96,789475.41,2777105.00,0.00,509259.49,695072.45
CPTY_A,2030-02-05,14.000262,465881.61,791977.06,2884678.25,0.00,514630.37,695072.45
CPTY_A,2030-03-05,14.076974,418059.78,752419.30,2643137.75,0.00,462351.45,695072.45
CPTY_A,2030-04-05,14.161906,409451.55,751221.60,2672104.25,0.00,453424.97,695072.45
CPTY_A,2030-05-07,14.249577,408689.19,752542.94,2626230.50,0.00,453193.31,695072.45
CPTY_A,2030-06-05,14.329029,409701.47,754354.28,2785096.25,0.00,454873.07,695072.45
CPTY_A,2030-07-05,14.411221,411436.14,759137.00,2743586.50,0.00,457378.62,695072.45
CPTY_A,2030-08-05,14.496152,415952.18,762964.19,2821605.00,0.00,463005.23,695072.45
CPTY_A,2030-09-05,14.581084,397310.59,663080.04,2712342.00,0.00,442834.76,695072.45
CPTY_A,2030-10-07,14.668755,401313.65,664556.39,2599986.25,0.00,447901.92,695072.45
CPTY_A,2030-11-05,14.748207,403044.17,667374.85,2731383.75,0.00,450385.08,695072.45
CPTY_A,2030-12-05,14.830399,403217.94,670027.88,2668974.50,0.00,451150.99,695072.45
CPTY_A,2031-01-06,14.918070,406920.69,673871.44,2555263.75,0.00,455910.16,695072.45
CPTY_A,2031-02-05,15.000262,407137.00,676660.61,2692293.00,0.00,456731.31,695072.45
CPTY_A,2031-03-05,15.076974,350613.32,636377.16,2454478.75,0.00,393758.28,695072.45
CPTY_A,2031-04-07,15.167385,351023.96,637844.11,2424320.50,0.00,394726.77,695072.45
CPTY_A,2031-05-06,15.246837,352025.58,637937.97,2310284.00,0.00,396300.74,695072.45
CPTY_A,2031-06-05,15.329029,351470.03,638269.08,2405793.25,0.00,396138.19,695072.45
CPTY_A,2031-07-07,15.416700,353389.27,639130.33,2500554.50,0.00,398798.38,695072.45
CPTY_A,2031-08-05,15.496152,356420.65,641519.57,2351492.50,0.00,402674.12,695072.45
CPTY_A,2031-09-05,15.581084,337680.25,550210.09,2286528.25,0.00,381962.92,695072.45
CPTY_A,2031-10-06,15.666015,340419.75,552074.90,2209639.25,0.00,385527.15,695072.45
CPTY_A,2031-11-05,15.748207,344304.49,554271.79,2317583.75,0.00,390382.81,695072.45
CPTY_A,2031-12-05,15.830399,340272.87,556555.28,2293044.75,0.00,386262.97,695072.45
CPTY_A,2032-01-05,15.915301,338098.82,560023.38,2176616.25,0.00,384259.04,695072.45
CPTY_A,2032-02-05,16.000000,337162.85,563551.13,2181057.25,0.00,383658.51,695072.45
CPTY_A,2032-03-05,16.079235,284331.98,521837.48,1815933.62,0.00,323908.00,695072.45
CPTY_A,2032-04-05,16.163934,293372.09,523338.17,1875765.88,0.00,334610.40,695072.45
CPTY_A,2032-05-05,16.245902,290908.91,522639.81,1835150.88,0.00,332189.13,695072.45
CPTY_A,2032-06-07,16.336066,286554.32,521437.46,1883081.12,0.00,327637.72,695072.45
CPTY_A,2032-07-06,16.415301,286933.72,521926.33,1821322.50,0.00,328442.51,695072.45
CPTY_A,2032-08-05,16.497268,289367.01,523253.28,1791008.62,0.00,331615.30,695072.45
CPTY_A,2032-09-07,16.587432,269351.71,429311.32,1744333.25,0.00,309074.95,695072.45
CPTY_A,2032-10-05,16.663934,271276.01,429214.56,1778922.62,0.00,311622.91,695072.45
CPTY_A,2032-11-05,16.748634,270059.56,429706.87,1798433.62,0.00,310600.55,695072.45
CPTY_A,2032-12-06,16.833333,269484.15,431071.64,1759344.88,0.00,310313.44,695072.45
CPTY_A,2033-01-05,16.915330,270441.09,432007.01,1738634.00,0.00,311779.67,695072.45
CPTY_A,2033-02-07,17.005741,269841.66,433808.36,1753353.88,0.00,311488.96,695072.45
CPTY_A,2033-03-07,17.082454,217657.65,393523.50,1398692.38,0.00,251525.20,695072.45
CPTY_A,2033-04-05,17.161906,221713.57,393367.53,1486247.38,0.00,256501.94,695072.45
CPTY_A,2033-05-05,17.244098,222415.10,392587.20,1535620.00,0.00,257614.57,695072.45
CPTY_A,2033-06-07,17.334509,217213.87,393296.94,1562282.12,0.00,251913.97,695072.45
CPTY_A,2033-07-05,17.411221,217040.87,393583.63,1485242.50,0.00,251988.16,695072.45
CPTY_A,2033-08-05,17.496152,218137.30,394158.70,1496563.12,0.00,253567.28,695072.45
CPTY_A,2033-09-06,17.583824,199953.47,301468.05,1340412.88,0.00,232720.07,695072.45
CPTY_A,2033-10-05,17.663276,199895.40,301628.85,1265780.62,0.00,232915.58,695072.45
CPTY_A,2033-11-07,17.753687,199518.09,302366.52,1240036.62,0.00,232775.11,695072.45
CPTY_A,2033-12-05,17.830399,199432.65,303982.01,1266745.38,0.00,232929.47,695072.45
CPTY_A,2034-01-05,17.915330,199482.11,304905.15,1266326.00,0.00,233268.88,695072.45
CPTY_A,2034-02-06,18.003002,199861.37,307085.60,1335156.12,0.00,234004.03,695072.45
CPTY_A,2034-03-06,18.079714,144705.53,265365.68,988291.81,0.00,169610.81,695072.45
CPTY_A,2034-04-05,18.161906,146300.26,265750.19,1011412.81,0.00,171680.60,695072.45
CPTY_A,2034-05-05,18.244098,147211.96,265016.38,977295.75,0.00,172952.56,695072.45
CPTY_A,2034-06-05,18.329029,147297.10,264542.01,1024344.19,0.00,173261.79,695072.45
CPTY_A,2034-07-05,18.411221,147942.88,264706.78,988469.69,0.00,174224.98,695072.45
CPTY_A,2034-08-07,18.501632,147237.75,264972.43,960485.94,0.00,173617.72,695072.45
CPTY_A,2034-09-05,18.581084,127289.34,172024.65,853204.75,0.00,150264.97,695072.45
CPTY_A,2034-10-05,18.663276,127511.01,171412.04,851439.81,0.00,150702.74,695072.45
CPTY_A,2034-11-06,18.750947,127965.85,171620.50,802598.62,0.00,151429.05,695072.45
CPTY_A,2034-12-05,18.830399,127367.11,172510.61,787118.62,0.00,150890.96,695072.45
CPTY_A,2035-01-05,18.915330,126890.85,173099.40,768491.94,0.00,150508.46,695072.45
CPTY_A,2035-02-05,19.000262,126309.39,173760.40,773585.81,0.00,149999.89,695072.45
CPTY_A,2035-03-05,19.076974,72451.89,131806.09,425241.38,0.00,86134.85,695072.45
CPTY_A,2035-04-05,19.161906,72603.41,131737.90,445647.94,0.00,86419.33,695072.45
CPTY_A,2035-05-08,19.252317,72347.06,131187.59,425998.28,0.00,86225.03,695072.45
CPTY_A,2035-06-05,19.329029,72713.79,131062.63,453737.28,0.00,86756.72,695072.45
CPTY_A,2035-07-05,19.411221,72769.75,132067.24,445957.50,0.00,86925.06,695072.45
CPTY_A,2035-08-06,19.498892,72512.11,133170.23,410969.19,0.00,86725.39,695072.45
CPTY_A,2035-09-05,19.581084,54962.74,43017.42,330198.91,0.00,65813.02,695072.45
CPTY_A,2035-10-05,19.663276,54917.32,43010.73,332557.94,0.00,65835.57,695072.45
CPTY_A,2035-11-05,19.748207,54868.72,43022.77,333464.66,0.00,65856.82,695072.45
CPTY_A,2035-12-05,19.830399,54761.71,42993.56,332816.91,0.00,65805.27,695072.45
CPTY_A,2036-01-07,19.920765,54987.13,42974.12,325064.38,0.00,66161.18,695072.45
CPTY_A,2036-02-05,20.000000,54977.10,42965.41,316148.28,0.00,66223.92,695072.45
CPTY_A,2036-03-05,20.079235,0.00,0.00,0.00,0.00,0.00,695072.45
